,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
47,18017451,GDO_q35,COUNTRY,ATG,YEAR,2015,,,,,,,,,5.1,5.05867,0.05059,,,2018-02-27T14:38:16.1+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
48,18017452,GDO_q35,COUNTRY,ARG,YEAR,2015,,,,,,,,,4.7,4.73135,0.04731,,,2018-02-27T14:38:16.127+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
49,18017453,GDO_q35,COUNTRY,BHS,YEAR,2015,,,,,,,,,5.2,5.1832,0.05183,,,2018-02-27T14:38:16.153+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
50,18017454,GDO_q35,COUNTRY,BRB,YEAR,2015,,,,,,,,,5.4,5.35136,0.05351,,,2018-02-27T14:38:16.19+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
51,18017455,GDO_q35,COUNTRY,BLZ,YEAR,2015,,,,,,,,,4.4,4.40284,0.04403,,,2018-02-27T14:38:16.217+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
52,18017456,GDO_q35,COUNTRY,BOL,YEAR,2015,,,,,,,,,4.4,4.36209,0.04362,,,2018-02-27T14:38:16.243+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
53,18017457,GDO_q35,COUNTRY,BRA,YEAR,2015,,,,,,,,,5.8,5.75637,0.05756,,,2018-02-27T14:38:16.27+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
54,18017458,GDO_q35,COUNTRY,CAN,YEAR,2015,,,,,,,,,4.7,4.65483,0.04655,,,2018-02-27T14:38:16.293+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
55,18017459,GDO_q35,COUNTRY,CHL,YEAR,2015,,,,,,,,,5.0,5.00655,0.05007,,,2018-02-27T14:38:16.313+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
56,18017460,GDO_q35,COUNTRY,COL,YEAR,2015,,,,,,,,,4.7,4.67554,0.04676,,,2018-02-27T14:38:16.337+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
57,18017461,GDO_q35,COUNTRY,CRI,YEAR,2015,,,,,,,,,4.7,4.69745,0.04697,,,2018-02-27T14:38:16.357+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
58,18017462,GDO_q35,COUNTRY,CUB,YEAR,2015,,,,,,,,,5.5,5.49024,0.0549,,,2018-02-27T14:38:16.38+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
59,18017463,GDO_q35,COUNTRY,DOM,YEAR,2015,,,,,,,,,4.7,4.66497,0.04665,,,2018-02-27T14:38:16.407+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
60,18017464,GDO_q35,COUNTRY,ECU,YEAR,2015,,,,,,,,,4.6,4.58762,0.04588,,,2018-02-27T14:38:16.427+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
61,18017465,GDO_q35,COUNTRY,SLV,YEAR,2015,,,,,,,,,4.4,4.39914,0.04399,,,2018-02-27T14:38:16.453+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
62,18017466,GDO_q35,COUNTRY,GRD,YEAR,2015,,,,,,,,,4.7,4.70431,0.04704,,,2018-02-27T14:38:16.483+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
63,18017467,GDO_q35,COUNTRY,GTM,YEAR,2015,,,,,,,,,3.7,3.71346,0.03713,,,2018-02-27T14:38:16.51+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
64,18017468,GDO_q35,COUNTRY,GUY,YEAR,2015,,,,,,,,,4.5,4.54976,0.0455,,,2018-02-27T14:38:16.54+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
65,18017469,GDO_q35,COUNTRY,HTI,YEAR,2015,,,,,,,,,4.3,4.27832,0.04278,,,2018-02-27T14:38:16.57+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
66,18017470,GDO_q35,COUNTRY,HND,YEAR,2015,,,,,,,,,4.0,3.98353,0.03984,,,2018-02-27T14:38:16.593+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
67,18017471,GDO_q35,COUNTRY,JAM,YEAR,2015,,,,,,,,,4.8,4.81777,0.04818,,,2018-02-27T14:38:16.62+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
68,18017472,GDO_q35,COUNTRY,MEX,YEAR,2015,,,,,,,,,4.2,4.15739,0.04157,,,2018-02-27T14:38:16.647+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
69,18017473,GDO_q35,COUNTRY,NIC,YEAR,2015,,,,,,,,,4.2,4.18219,0.04182,,,2018-02-27T14:38:16.67+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
70,18017474,GDO_q35,COUNTRY,PAN,YEAR,2015,,,,,,,,,4.4,4.36313,0.04363,,,2018-02-27T14:38:16.7+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
71,18017475,GDO_q35,COUNTRY,PRY,YEAR,2015,,,,,,,,,5.2,5.23426,0.05234,,,2018-02-27T14:38:16.733+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
72,18017476,GDO_q35,COUNTRY,PER,YEAR,2015,,,,,,,,,4.8,4.7578,0.04758,,,2018-02-27T14:38:16.767+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
73,18017477,GDO_q35,COUNTRY,LCA,YEAR,2015,,,,,,,,,4.9,4.94737,0.04947,,,2018-02-27T14:38:16.793+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
74,18017478,GDO_q35,COUNTRY,VCT,YEAR,2015,,,,,,,,,4.9,4.85873,0.04859,,,2018-02-27T14:38:16.83+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
75,18017479,GDO_q35,COUNTRY,SUR,YEAR,2015,,,,,,,,,4.8,4.8084,0.04808,,,2018-02-27T14:38:16.863+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
76,18017480,GDO_q35,COUNTRY,TTO,YEAR,2015,,,,,,,,,5.2,5.17747,0.05177,,,2018-02-27T14:38:16.93+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
77,18017481,GDO_q35,COUNTRY,USA,YEAR,2015,,,,,,,,,5.9,5.85717,0.05857,,,2018-02-27T14:38:16.957+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
78,18017482,GDO_q35,COUNTRY,URY,YEAR,2015,,,,,,,,,5.0,4.96401,0.04964,,,2018-02-27T14:38:16.983+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
79,18017483,GDO_q35,COUNTRY,VEN,YEAR,2015,,,,,,,,,4.2,4.21011,0.0421,,,2018-02-27T14:38:17.007+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
80,18017484,GDO_q35,COUNTRY,AFG,YEAR,2015,,,,,,,,,3.3,3.31159,0.03312,,,2018-02-27T14:38:17.033+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
81,18017485,GDO_q35,COUNTRY,BHR,YEAR,2015,,,,,,,,,4.8,4.75979,0.0476,,,2018-02-27T14:38:17.063+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
82,18017486,GDO_q35,COUNTRY,DJI,YEAR,2015,,,,,,,,,5.1,5.07172,0.05072,,,2018-02-27T14:38:17.093+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
83,18017487,GDO_q35,COUNTRY,EGY,YEAR,2015,,,,,,,,,3.5,3.46338,0.03463,,,2018-02-27T14:38:17.14+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
84,18017488,GDO_q35,COUNTRY,IRN,YEAR,2015,,,,,,,,,4.9,4.85675,0.04857,,,2018-02-27T14:38:17.173+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
85,18017489,GDO_q35,COUNTRY,IRQ,YEAR,2015,,,,,,,,,3.7,3.72536,0.03725,,,2018-02-27T14:38:17.203+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
86,18017490,GDO_q35,COUNTRY,JOR,YEAR,2015,,,,,,,,,4.0,4.02768,0.04028,,,2018-02-27T14:38:17.233+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
87,18017491,GDO_q35,COUNTRY,KWT,YEAR,2015,,,,,,,,,5.0,5.0005,0.05001,,,2018-02-27T14:38:17.26+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
88,18017492,GDO_q35,COUNTRY,LBN,YEAR,2015,,,,,,,,,4.7,4.67358,0.04674,,,2018-02-27T14:38:17.29+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
89,18017493,GDO_q35,COUNTRY,LBY,YEAR,2015,,,,,,,,,4.5,4.50522,0.04505,,,2018-02-27T14:38:17.32+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
90,18017494,GDO_q35,COUNTRY,MAR,YEAR,2015,,,,,,,,,4.5,4.52795,0.04528,,,2018-02-27T14:38:17.343+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
91,18017495,GDO_q35,COUNTRY,OMN,YEAR,2015,,,,,,,,,4.7,4.65574,0.04656,,,2018-02-27T14:38:17.37+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
92,18017496,GDO_q35,COUNTRY,PAK,YEAR,2015,,,,,,,,,4.2,4.19295,0.04193,,,2018-02-27T14:38:17.393+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
